method,history,epoch,Metric,Estimate
CNN,26,6,mean_absolute_error,0.54021829366684
CNN,26,7,mean_absolute_error,0.67148220539093
CNN,26,8,mean_absolute_error,0.526970982551575
CNN,26,9,mean_absolute_error,0.604841232299805
CNN,26,10,mean_absolute_error,0.5220667719841
CNN,26,11,mean_absolute_error,0.815945029258728
CNN,27,1,mean_absolute_error,1.35106337070465
CNN,27,2,mean_absolute_error,0.581980526447296
CNN,27,3,mean_absolute_error,0.583274722099304
CNN,27,4,mean_absolute_error,0.772412836551666
CNN,27,5,mean_absolute_error,0.571796894073486
CNN,27,6,mean_absolute_error,0.539559304714203
CNN,27,7,mean_absolute_error,0.61755245923996
CNN,27,8,mean_absolute_error,0.546978652477264
CNN,27,9,mean_absolute_error,0.558019101619721
CNN,27,10,mean_absolute_error,0.823320388793945
CNN,27,11,mean_absolute_error,0.537023961544037
CNN,27,12,mean_absolute_error,0.5239577293396
CNN,27,13,mean_absolute_error,0.650569498538971
CNN,27,14,mean_absolute_error,0.529132783412933
CNN,27,15,mean_absolute_error,0.680058360099793
CNN,28,1,mean_absolute_error,0.751738607883453
CNN,28,2,mean_absolute_error,0.54592090845108
CNN,28,3,mean_absolute_error,0.524440050125122
CNN,28,4,mean_absolute_error,0.820664703845978
CNN,28,5,mean_absolute_error,0.578596651554108
CNN,28,6,mean_absolute_error,0.526953220367432
CNN,28,7,mean_absolute_error,0.940651416778564
CNN,28,8,mean_absolute_error,0.542056798934937
CNN,28,9,mean_absolute_error,0.534311830997467
CNN,28,10,mean_absolute_error,0.548016250133514
CNN,28,11,mean_absolute_error,0.592912614345551
CNN,28,12,mean_absolute_error,0.565035700798035
CNN,29,1,mean_absolute_error,1.66230809688568
CNN,29,2,mean_absolute_error,0.68797093629837
CNN,29,3,mean_absolute_error,0.684789776802063
CNN,29,4,mean_absolute_error,0.592392265796661
CNN,29,5,mean_absolute_error,0.543060958385468
CNN,29,6,mean_absolute_error,0.616958618164063
CNN,29,7,mean_absolute_error,0.542744576931
